Episode 1: Reward = 602.88, Avg Reward (100) = 0.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 0.25, Steps = 5, Reward Breakdown -> Delta_x Reward: 1206.88, Border Penalty: 150.00, Obstacle Penalty: 250.00
Episode 2: Reward = 6542.99, Avg Reward (100) = 602.88, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 33, Reward Breakdown -> Delta_x Reward: 9817.54, Border Penalty: 1258.09, Obstacle Penalty: 1809.35
Episode 3: Reward = -100.00, Avg Reward (100) = 3572.94, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.25, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 4: Reward = -100.00, Avg Reward (100) = 2348.62, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.25, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 5: Reward = 49.00, Avg Reward (100) = 1736.47, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.25, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 6: Reward = 651.68, Avg Reward (100) = 1398.97, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 0.25, Steps = 6, Reward Breakdown -> Delta_x Reward: 1306.68, Border Penalty: 150.00, Obstacle Penalty: 300.00
Episode 7: Reward = 602.88, Avg Reward (100) = 1274.43, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 0.25, Steps = 5, Reward Breakdown -> Delta_x Reward: 1206.88, Border Penalty: 150.00, Obstacle Penalty: 250.00
Episode 8: Reward = 49.00, Avg Reward (100) = 1178.49, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 0.25, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 9: Reward = -100.00, Avg Reward (100) = 1037.30, Epsilon = 0.997, Avg Loss = 0.0000, Max Q-Value = 0.25, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 10: Reward = -100.00, Avg Reward (100) = 910.94, Epsilon = 0.997, Avg Loss = 0.0000, Max Q-Value = 0.25, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 11: Reward = 943.00, Avg Reward (100) = 809.84, Epsilon = 0.997, Avg Loss = 43.0609, Max Q-Value = 1.36, Steps = 8, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 50.00, Obstacle Penalty: 400.00
Episode 12: Reward = 701.88, Avg Reward (100) = 821.95, Epsilon = 0.996, Avg Loss = 165.5029, Max Q-Value = 35.02, Steps = 6, Reward Breakdown -> Delta_x Reward: 1406.88, Border Penalty: 200.00, Obstacle Penalty: 300.00
Episode 13: Reward = 7796.91, Avg Reward (100) = 811.94, Epsilon = 0.996, Avg Loss = 154.7847, Max Q-Value = 411.33, Steps = 17, Reward Breakdown -> Delta_x Reward: 9969.11, Border Penalty: 418.56, Obstacle Penalty: 997.40
Episode 14: Reward = 12336.46, Avg Reward (100) = 1349.25, Epsilon = 0.996, Avg Loss = 138.8386, Max Q-Value = 365.38, Steps = 45, Reward Breakdown -> Delta_x Reward: 16851.77, Border Penalty: 1610.63, Obstacle Penalty: 2669.01
Episode 15: Reward = -100.00, Avg Reward (100) = 2134.05, Epsilon = 0.996, Avg Loss = 138.4984, Max Q-Value = 287.55, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 16: Reward = 2546.75, Avg Reward (100) = 1985.11, Epsilon = 0.995, Avg Loss = 136.4000, Max Q-Value = 280.48, Steps = 18, Reward Breakdown -> Delta_x Reward: 4300.78, Border Penalty: 600.00, Obstacle Penalty: 977.22
Episode 17: Reward = 1292.05, Avg Reward (100) = 2020.21, Epsilon = 0.995, Avg Loss = 127.6888, Max Q-Value = 306.32, Steps = 10, Reward Breakdown -> Delta_x Reward: 2301.05, Border Penalty: 300.00, Obstacle Penalty: 550.00
Episode 18: Reward = 602.88, Avg Reward (100) = 1977.38, Epsilon = 0.995, Avg Loss = 118.4251, Max Q-Value = 265.40, Steps = 5, Reward Breakdown -> Delta_x Reward: 1206.88, Border Penalty: 150.00, Obstacle Penalty: 250.00
Episode 19: Reward = 1297.88, Avg Reward (100) = 1901.02, Epsilon = 0.994, Avg Loss = 126.1996, Max Q-Value = 309.00, Steps = 10, Reward Breakdown -> Delta_x Reward: 2206.88, Border Penalty: 200.00, Obstacle Penalty: 500.00
Episode 20: Reward = 198.00, Avg Reward (100) = 1869.28, Epsilon = 0.994, Avg Loss = 119.2591, Max Q-Value = 249.30, Steps = 3, Reward Breakdown -> Delta_x Reward: 600.00, Border Penalty: 50.00, Obstacle Penalty: 150.00
Episode 21: Reward = 8011.83, Avg Reward (100) = 1785.71, Epsilon = 0.994, Avg Loss = 124.1689, Max Q-Value = 489.96, Steps = 25, Reward Breakdown -> Delta_x Reward: 11133.75, Border Penalty: 558.27, Obstacle Penalty: 1456.94
Episode 22: Reward = 49.00, Avg Reward (100) = 2082.19, Epsilon = 0.993, Avg Loss = 343.2216, Max Q-Value = 300.73, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 23: Reward = 10879.55, Avg Reward (100) = 1989.78, Epsilon = 0.993, Avg Loss = 224.2615, Max Q-Value = 884.03, Steps = 25, Reward Breakdown -> Delta_x Reward: 13663.50, Border Penalty: 1169.88, Obstacle Penalty: 1436.33
Episode 24: Reward = 10673.04, Avg Reward (100) = 2376.29, Epsilon = 0.993, Avg Loss = 197.3956, Max Q-Value = 1041.97, Steps = 17, Reward Breakdown -> Delta_x Reward: 12556.56, Border Penalty: 444.11, Obstacle Penalty: 968.91
Episode 25: Reward = 49.00, Avg Reward (100) = 2721.99, Epsilon = 0.993, Avg Loss = 199.5367, Max Q-Value = 560.76, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 26: Reward = -100.00, Avg Reward (100) = 2615.07, Epsilon = 0.992, Avg Loss = 235.2444, Max Q-Value = 540.98, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 27: Reward = 49.00, Avg Reward (100) = 2510.64, Epsilon = 0.992, Avg Loss = 200.5888, Max Q-Value = 606.97, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
