Episode 1: Reward = 8093.70, Avg Reward (100) = 0.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 26, Reward Breakdown -> Delta_x Reward: 12257.50, Border Penalty: 2250.00, Obstacle Penalty: 1363.80
Episode 2: Reward = 240.00, Avg Reward (100) = 8093.70, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 2, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 3: Reward = -100.00, Avg Reward (100) = 4166.85, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 4: Reward = 7589.62, Avg Reward (100) = 2744.57, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.29, Steps = 14, Reward Breakdown -> Delta_x Reward: 9582.04, Border Penalty: 403.98, Obstacle Penalty: 836.80
Episode 5: Reward = 920.00, Avg Reward (100) = 3955.83, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.27, Steps = 4, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 6: Reward = -100.00, Avg Reward (100) = 3348.66, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 7: Reward = -100.00, Avg Reward (100) = 2773.89, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 8: Reward = -100.00, Avg Reward (100) = 2363.33, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 9: Reward = -100.00, Avg Reward (100) = 2055.42, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 10: Reward = -100.00, Avg Reward (100) = 1815.92, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 11: Reward = -100.00, Avg Reward (100) = 1624.33, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 0.26, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
