Episode 1: Reward = 650.00, Avg Reward (100) = 0.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 1.46, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 2: Reward = 650.00, Avg Reward (100) = 650.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 1.46, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 3: Reward = 159122.45, Avg Reward (100) = 650.00, Epsilon = 1.000, Avg Loss = 231.0438, Max Q-Value = 1.47, Steps = 66, Reward Breakdown -> Delta_x Reward: 246677.19, Border Penalty: 2438.97, Obstacle Penalty: 3622.11
Episode 4: Reward = 7034.35, Avg Reward (100) = 53474.15, Epsilon = 1.000, Avg Loss = 2293.4635, Max Q-Value = 1.59, Steps = 7, Reward Breakdown -> Delta_x Reward: 15684.35, Border Penalty: 600.00, Obstacle Penalty: 350.00
Episode 5: Reward = -100.00, Avg Reward (100) = 41864.20, Epsilon = 1.000, Avg Loss = 2020.5415, Max Q-Value = 1.59, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 6: Reward = -100.00, Avg Reward (100) = 33471.36, Epsilon = 0.999, Avg Loss = 1960.2104, Max Q-Value = 1.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 7: Reward = 5927.47, Avg Reward (100) = 27876.13, Epsilon = 0.999, Avg Loss = 2113.4145, Max Q-Value = 1.67, Steps = 7, Reward Breakdown -> Delta_x Reward: 14727.47, Border Penalty: 750.00, Obstacle Penalty: 350.00
Episode 8: Reward = -100.00, Avg Reward (100) = 24740.61, Epsilon = 0.999, Avg Loss = 2062.5066, Max Q-Value = 1.70, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 9: Reward = 108566.97, Avg Reward (100) = 21635.53, Epsilon = 0.999, Avg Loss = 1936.8028, Max Q-Value = 3.09, Steps = 78, Reward Breakdown -> Delta_x Reward: 197603.15, Border Penalty: 5334.04, Obstacle Penalty: 5048.25
Episode 10: Reward = 1400.00, Avg Reward (100) = 31294.58, Epsilon = 0.999, Avg Loss = 1893.3175, Max Q-Value = 2.96, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 150.00
Episode 11: Reward = -100.00, Avg Reward (100) = 28305.12, Epsilon = 0.999, Avg Loss = 1690.6055, Max Q-Value = 2.98, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 12: Reward = 341601.68, Avg Reward (100) = 25722.84, Epsilon = 0.999, Avg Loss = 2081.9566, Max Q-Value = 3.18, Steps = 61, Reward Breakdown -> Delta_x Reward: 407951.68, Border Penalty: 1350.00, Obstacle Penalty: 4000.00
Episode 13: Reward = -100.00, Avg Reward (100) = 52046.08, Epsilon = 0.999, Avg Loss = 2934.5459, Max Q-Value = 4.35, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 14: Reward = 303971.81, Avg Reward (100) = 48034.84, Epsilon = 0.999, Avg Loss = 2832.0949, Max Q-Value = 4.67, Steps = 68, Reward Breakdown -> Delta_x Reward: 377071.81, Border Penalty: 750.00, Obstacle Penalty: 4350.00
Episode 15: Reward = 19077.36, Avg Reward (100) = 66316.05, Epsilon = 0.999, Avg Loss = 3141.3993, Max Q-Value = 6.52, Steps = 17, Reward Breakdown -> Delta_x Reward: 39277.36, Border Penalty: 1650.00, Obstacle Penalty: 850.00
Episode 16: Reward = 8834.35, Avg Reward (100) = 63166.81, Epsilon = 0.999, Avg Loss = 3035.2977, Max Q-Value = 6.74, Steps = 10, Reward Breakdown -> Delta_x Reward: 21084.35, Border Penalty: 1050.00, Obstacle Penalty: 500.00
Episode 17: Reward = 257394.22, Avg Reward (100) = 59771.03, Epsilon = 0.998, Avg Loss = 3075.6573, Max Q-Value = 6.78, Steps = 68, Reward Breakdown -> Delta_x Reward: 334699.89, Border Penalty: 4069.46, Obstacle Penalty: 4638.45
