Training Log
20241120_184114
-----------
Configuration: c:\Users\rasmu\OneDrive\Skrivebord\Dev\NN cartrack\config.py

Training Metrics
---------------
Configuration Items
--------------------
torch: <module 'torch' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\torch\\__init__.py'>
np: <module 'numpy' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\numpy\\__init__.py'>
DEVICE: cuda
TRACK_LENGTH: 300
TRACK_WIDTH: 50
MAX_TIMESTEPS: 1100
BORDER_THRESHOLD: 10.0
OBSTACLE_THRESHOLD: 1.0
OBSTACLES: [{'center': array([150.,  25.], dtype=float32), 'size': array([50., 30.], dtype=float32)}, {'center': array([225.,  45.], dtype=float32), 'size': array([30., 20.], dtype=float32)}, {'center': array([225.,   5.], dtype=float32), 'size': array([30., 20.], dtype=float32)}]
LEARNING_RATE: 0.0005
BATCH_SIZE: 64
GAMMA: 0.98
EPS_START: 1.0
EPS_END: 0.1
EPS_DECAY: 1500
TARGET_UPDATE: 5
MEMORY_CAPACITY: 30000
NUM_EPISODES: 1500
MAX_SPEED: 4.0
ACCELERATION: 0.9
STEERING: 0.8
HIDDEN_LAYERS: {256, 128}
REWARD_GOAL: 200000
PENALTY_OFF_TRACK: -1000
PENALTY_OBSTACLE: -900
PENALTY_BORDER: -300
PENALTY_BACKWARDS: -100
PENALTY_TIME_LIMIT: -25
DELTA_X_REWARD_FACTOR: 2500
TIME_PENALTY: 1500
STATE_SIZE: 12
ACTION_SIZE: 4
PROCENTAGE_TO_DRAW: 0.9
DRAW_BEST_TRAJECTORIES: 1351

Training Progress
-----------------
Episode 1: Reward = 86833.71, Avg Reward (100) = 0.00, Epsilon = 0.999, Avg Loss = 135.2202, Max Q-Value = 29.96, Steps = 67, Reward Breakdown -> Delta_x Reward: 182391.66, Border Penalty: 11708.32, Obstacle Penalty: -3853.05
Episode 2: Reward = -1000.00, Avg Reward (100) = 86833.71, Epsilon = 0.999, Avg Loss = 2151.1216, Max Q-Value = 43.75, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 3: Reward = -4847.35, Avg Reward (100) = 42916.86, Epsilon = 0.998, Avg Loss = 2102.2822, Max Q-Value = 147.41, Steps = 14, Reward Breakdown -> Delta_x Reward: 13055.40, Border Penalty: 8666.65, Obstacle Penalty: -800.00
Episode 4: Reward = -1000.00, Avg Reward (100) = 26995.45, Epsilon = 0.998, Avg Loss = 2021.4952, Max Q-Value = 156.22, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 5: Reward = -2301.51, Avg Reward (100) = 19996.59, Epsilon = 0.997, Avg Loss = 1846.9531, Max Q-Value = 290.34, Steps = 14, Reward Breakdown -> Delta_x Reward: 18348.49, Border Penalty: 600.00, Obstacle Penalty: -700.00
Episode 6: Reward = -10802.56, Avg Reward (100) = 15536.97, Epsilon = 0.996, Avg Loss = 1764.4352, Max Q-Value = 460.96, Steps = 13, Reward Breakdown -> Delta_x Reward: 8127.84, Border Penalty: 900.00, Obstacle Penalty: -830.41
Episode 7: Reward = -2550.00, Avg Reward (100) = 11147.05, Epsilon = 0.996, Avg Loss = 1662.0889, Max Q-Value = 491.34, Steps = 2, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -100.00
Episode 8: Reward = -14062.50, Avg Reward (100) = 9190.33, Epsilon = 0.995, Avg Loss = 1663.7343, Max Q-Value = 668.63, Steps = 11, Reward Breakdown -> Delta_x Reward: 2137.50, Border Penalty: 400.00, Obstacle Penalty: -550.00
Episode 9: Reward = -2550.00, Avg Reward (100) = 6283.72, Epsilon = 0.995, Avg Loss = 1579.3011, Max Q-Value = 705.53, Steps = 2, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -100.00
Episode 10: Reward = -1000.00, Avg Reward (100) = 5302.20, Epsilon = 0.994, Avg Loss = 1386.9290, Max Q-Value = 724.05, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 11: Reward = -4100.00, Avg Reward (100) = 4671.98, Epsilon = 0.993, Avg Loss = 1640.2249, Max Q-Value = 780.39, Steps = 3, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -150.00
