Episode 1: Reward = 2663.02, Avg Reward (100) = 0.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.71, Steps = 9, Reward Breakdown -> Delta_x Reward: 4243.02, Border Penalty: 750.00, Obstacle Penalty: 450.00
Episode 2: Reward = -100.00, Avg Reward (100) = 2663.02, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.70, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 3: Reward = -100.00, Avg Reward (100) = 1281.51, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.70, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 4: Reward = 240.00, Avg Reward (100) = 821.01, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.70, Steps = 2, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 5: Reward = -100.00, Avg Reward (100) = 675.75, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.70, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 6: Reward = -100.00, Avg Reward (100) = 520.60, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.70, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 7: Reward = 240.00, Avg Reward (100) = 417.17, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.70, Steps = 2, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 8: Reward = 240.00, Avg Reward (100) = 391.86, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.70, Steps = 2, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 9: Reward = -100.00, Avg Reward (100) = 372.88, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.70, Steps = 1, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 10: Reward = 1067.23, Avg Reward (100) = 320.34, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.71, Steps = 5, Reward Breakdown -> Delta_x Reward: 2107.23, Border Penalty: 450.00, Obstacle Penalty: 250.00
Episode 11: Reward = 1600.00, Avg Reward (100) = 395.02, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 0.70, Steps = 6, Reward Breakdown -> Delta_x Reward: 2400.00, Border Penalty: 150.00, Obstacle Penalty: 300.00
