Episode 1: Reward = -6400.00, Avg Reward (100) = 0.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 1.44, Steps = 7, Reward Breakdown -> Delta_x Reward: 12600.00, Border Penalty: 150.00, Obstacle Penalty: 1400.00
Episode 2: Reward = -9400.00, Avg Reward (100) = -6400.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 1.44, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 3: Reward = -10000.00, Avg Reward (100) = -7900.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 1.44, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 4: Reward = 4699.99, Avg Reward (100) = -8600.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 1.44, Steps = 10, Reward Breakdown -> Delta_x Reward: 28110.01, Border Penalty: 527.28, Obstacle Penalty: 2545.12
Episode 5: Reward = -8200.00, Avg Reward (100) = -5275.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 1.44, Steps = 4, Reward Breakdown -> Delta_x Reward: 7200.00, Border Penalty: 150.00, Obstacle Penalty: 863.90
Episode 6: Reward = -5787.75, Avg Reward (100) = -5860.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 1.49, Steps = 9, Reward Breakdown -> Delta_x Reward: 16200.00, Border Penalty: 289.08, Obstacle Penalty: 2337.21
Episode 7: Reward = -1740.66, Avg Reward (100) = -5847.96, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 1.48, Steps = 10, Reward Breakdown -> Delta_x Reward: 21989.18, Border Penalty: 893.33, Obstacle Penalty: 2503.10
Episode 8: Reward = -4266.91, Avg Reward (100) = -5261.20, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 1.48, Steps = 9, Reward Breakdown -> Delta_x Reward: 18320.92, Border Penalty: 873.45, Obstacle Penalty: 2345.12
Episode 9: Reward = -8200.00, Avg Reward (100) = -5136.92, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 1.44, Steps = 4, Reward Breakdown -> Delta_x Reward: 7200.00, Border Penalty: 150.00, Obstacle Penalty: 863.90
Episode 10: Reward = -6310.71, Avg Reward (100) = -5477.26, Epsilon = 0.499, Avg Loss = 282.0090, Max Q-Value = 1.50, Steps = 8, Reward Breakdown -> Delta_x Reward: 14400.00, Border Penalty: 195.94, Obstacle Penalty: 2030.09
Episode 11: Reward = 9888.28, Avg Reward (100) = -5560.60, Epsilon = 0.499, Avg Loss = 2170.0263, Max Q-Value = 1.54, Steps = 11, Reward Breakdown -> Delta_x Reward: 36377.06, Border Penalty: 257.74, Obstacle Penalty: 3011.50
