Episode 1: Reward = 568503.81, Avg Reward (100) = 0.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.66, Steps = 31, Reward Breakdown -> Delta_x Reward: 1439721.78, Border Penalty: 525088.62, Obstacle Penalty: 36129.34
Episode 2: Reward = -21083.36, Avg Reward (100) = 568503.81, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.00, Steps = 3, Reward Breakdown -> Delta_x Reward: 15000.00, Border Penalty: 100.00, Obstacle Penalty: 1621.94
Episode 3: Reward = 1133457.75, Avg Reward (100) = 273710.22, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 0.58, Steps = 29, Reward Breakdown -> Delta_x Reward: 1449634.50, Border Penalty: 0.00, Obstacle Penalty: 26176.68
Episode 4: Reward = 143848.11, Avg Reward (100) = 560292.75, Epsilon = 0.500, Avg Loss = 26834.3232, Max Q-Value = 0.71, Steps = 18, Reward Breakdown -> Delta_x Reward: 690007.14, Border Penalty: 399700.31, Obstacle Penalty: 13483.00
Episode 5: Reward = 30640.90, Avg Reward (100) = 456181.59, Epsilon = 0.500, Avg Loss = 25576.3528, Max Q-Value = 0.29, Steps = 16, Reward Breakdown -> Delta_x Reward: 450375.67, Border Penalty: 305627.34, Obstacle Penalty: 11329.58
Episode 6: Reward = 940859.81, Avg Reward (100) = 371073.44, Epsilon = 0.500, Avg Loss = 25024.0192, Max Q-Value = 0.76, Steps = 31, Reward Breakdown -> Delta_x Reward: 1282928.31, Border Penalty: 0.00, Obstacle Penalty: 32068.59
Episode 7: Reward = -99903.20, Avg Reward (100) = 466037.84, Epsilon = 0.499, Avg Loss = 25338.5809, Max Q-Value = 0.85, Steps = 14, Reward Breakdown -> Delta_x Reward: 364275.34, Border Penalty: 371373.81, Obstacle Penalty: 10080.29
Episode 8: Reward = -108360.98, Avg Reward (100) = 385189.09, Epsilon = 0.499, Avg Loss = 24663.5854, Max Q-Value = 0.54, Steps = 17, Reward Breakdown -> Delta_x Reward: 349844.77, Border Penalty: 373662.94, Obstacle Penalty: 11997.05
Episode 9: Reward = -66221.41, Avg Reward (100) = 323495.34, Epsilon = 0.499, Avg Loss = 25012.7427, Max Q-Value = 0.87, Steps = 32, Reward Breakdown -> Delta_x Reward: 1160801.94, Border Penalty: 957158.88, Obstacle Penalty: 24562.22
Episode 10: Reward = 680470.25, Avg Reward (100) = 280193.47, Epsilon = 0.499, Avg Loss = 24814.6244, Max Q-Value = 0.99, Steps = 34, Reward Breakdown -> Delta_x Reward: 1328823.76, Border Penalty: 272816.94, Obstacle Penalty: 35536.45
Episode 11: Reward = 613025.69, Avg Reward (100) = 320221.16, Epsilon = 0.499, Avg Loss = 25271.7145, Max Q-Value = 1.16, Steps = 39, Reward Breakdown -> Delta_x Reward: 1658811.83, Border Penalty: 671866.31, Obstacle Penalty: 32195.69
Episode 12: Reward = 130449.81, Avg Reward (100) = 346839.75, Epsilon = 0.499, Avg Loss = 24436.1713, Max Q-Value = 1.22, Steps = 26, Reward Breakdown -> Delta_x Reward: 975512.56, Border Penalty: 607966.44, Obstacle Penalty: 19487.39
Episode 13: Reward = 1124711.50, Avg Reward (100) = 328807.25, Epsilon = 0.499, Avg Loss = 25483.0739, Max Q-Value = 1.46, Steps = 30, Reward Breakdown -> Delta_x Reward: 1458784.40, Border Penalty: 0.00, Obstacle Penalty: 34072.90
Episode 14: Reward = 1101045.38, Avg Reward (100) = 390030.66, Epsilon = 0.499, Avg Loss = 27635.5284, Max Q-Value = 1.60, Steps = 29, Reward Breakdown -> Delta_x Reward: 1424706.79, Border Penalty: 0.00, Obstacle Penalty: 33661.51
Episode 15: Reward = 948934.88, Avg Reward (100) = 440817.44, Epsilon = 0.499, Avg Loss = 27221.4052, Max Q-Value = 1.76, Steps = 34, Reward Breakdown -> Delta_x Reward: 1325999.99, Border Penalty: 0.00, Obstacle Penalty: 37065.24
Episode 16: Reward = 949325.06, Avg Reward (100) = 474691.94, Epsilon = 0.499, Avg Loss = 26913.5360, Max Q-Value = 1.84, Steps = 34, Reward Breakdown -> Delta_x Reward: 1319204.14, Border Penalty: 0.00, Obstacle Penalty: 29879.13
Episode 17: Reward = 1010332.88, Avg Reward (100) = 504356.50, Epsilon = 0.499, Avg Loss = 27084.9947, Max Q-Value = 2.02, Steps = 30, Reward Breakdown -> Delta_x Reward: 1342366.93, Border Penalty: 0.00, Obstacle Penalty: 32034.02
Episode 18: Reward = -10000.00, Avg Reward (100) = 534119.81, Epsilon = 0.499, Avg Loss = 28723.0078, Max Q-Value = 2.18, Steps = 1, Reward Breakdown -> Delta_x Reward: 5000.00, Border Penalty: 100.00, Obstacle Penalty: 500.00
Episode 19: Reward = 945265.00, Avg Reward (100) = 503890.94, Epsilon = 0.498, Avg Loss = 27729.0891, Max Q-Value = 2.23, Steps = 34, Reward Breakdown -> Delta_x Reward: 1318473.60, Border Penalty: 0.00, Obstacle Penalty: 33208.63
Episode 20: Reward = -10000.00, Avg Reward (100) = 527121.15, Epsilon = 0.498, Avg Loss = 28344.4473, Max Q-Value = 2.41, Steps = 1, Reward Breakdown -> Delta_x Reward: 5000.00, Border Penalty: 100.00, Obstacle Penalty: 500.00
Episode 21: Reward = 1085331.25, Avg Reward (100) = 500265.09, Epsilon = 0.498, Avg Loss = 27701.1490, Max Q-Value = 2.44, Steps = 30, Reward Breakdown -> Delta_x Reward: 1414539.81, Border Penalty: 0.00, Obstacle Penalty: 29208.57
Episode 22: Reward = -10000.00, Avg Reward (100) = 528125.39, Epsilon = 0.498, Avg Loss = 25645.6211, Max Q-Value = 2.62, Steps = 1, Reward Breakdown -> Delta_x Reward: 5000.00, Border Penalty: 100.00, Obstacle Penalty: 500.00
Episode 23: Reward = 1121047.00, Avg Reward (100) = 503665.14, Epsilon = 0.498, Avg Loss = 27978.2913, Max Q-Value = 2.65, Steps = 28, Reward Breakdown -> Delta_x Reward: 1430025.33, Border Penalty: 0.00, Obstacle Penalty: 28978.34
Episode 24: Reward = 968675.00, Avg Reward (100) = 530507.83, Epsilon = 0.498, Avg Loss = 28805.5881, Max Q-Value = 2.85, Steps = 33, Reward Breakdown -> Delta_x Reward: 1326998.83, Border Penalty: 0.00, Obstacle Penalty: 28323.81
Episode 25: Reward = 1121006.75, Avg Reward (100) = 548764.80, Epsilon = 0.498, Avg Loss = 28956.4194, Max Q-Value = 3.13, Steps = 28, Reward Breakdown -> Delta_x Reward: 1425643.31, Border Penalty: 0.00, Obstacle Penalty: 24636.62
