Episode 1: Reward = -100.00, Avg Reward (100) = 0.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 6.96, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 2: Reward = 126601.12, Avg Reward (100) = -100.00, Epsilon = 1.000, Avg Loss = 499.5305, Max Q-Value = 7.84, Steps = 93, Reward Breakdown -> Delta_x Reward: 142662.30, Border Penalty: 8445.64, Obstacle Penalty: 6052.41
Episode 3: Reward = 3600.00, Avg Reward (100) = 63250.56, Epsilon = 1.000, Avg Loss = 1272.9571, Max Q-Value = 7.76, Steps = 6, Reward Breakdown -> Delta_x Reward: 4800.00, Border Penalty: 150.00, Obstacle Penalty: 300.00
Episode 4: Reward = -100.00, Avg Reward (100) = 43367.04, Epsilon = 1.000, Avg Loss = 1271.1254, Max Q-Value = 7.76, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 5: Reward = 640.00, Avg Reward (100) = 32500.28, Epsilon = 0.999, Avg Loss = 1269.4486, Max Q-Value = 7.78, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 6: Reward = 66924.94, Avg Reward (100) = 26128.22, Epsilon = 0.999, Avg Loss = 1251.1754, Max Q-Value = 7.83, Steps = 55, Reward Breakdown -> Delta_x Reward: 74583.49, Border Penalty: 1312.32, Obstacle Penalty: 3015.82
Episode 7: Reward = 1380.00, Avg Reward (100) = 32927.68, Epsilon = 0.999, Avg Loss = 1225.8507, Max Q-Value = 9.14, Steps = 3, Reward Breakdown -> Delta_x Reward: 2400.00, Border Penalty: 150.00, Obstacle Penalty: 150.00
Episode 8: Reward = -100.00, Avg Reward (100) = 28420.87, Epsilon = 0.999, Avg Loss = 1361.8232, Max Q-Value = 9.18, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 9: Reward = 2306.41, Avg Reward (100) = 24855.76, Epsilon = 0.999, Avg Loss = 1267.7514, Max Q-Value = 9.27, Steps = 4, Reward Breakdown -> Delta_x Reward: 3686.41, Border Penalty: 450.00, Obstacle Penalty: 200.00
Episode 10: Reward = 109492.98, Avg Reward (100) = 22350.27, Epsilon = 0.999, Avg Loss = 1294.9800, Max Q-Value = 18.13, Steps = 95, Reward Breakdown -> Delta_x Reward: 126177.76, Border Penalty: 9026.89, Obstacle Penalty: 6067.92
Episode 11: Reward = -100.00, Avg Reward (100) = 31064.55, Epsilon = 0.999, Avg Loss = 961.9796, Max Q-Value = 17.88, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 12: Reward = -100.00, Avg Reward (100) = 28231.40, Epsilon = 0.999, Avg Loss = 963.9320, Max Q-Value = 17.99, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 13: Reward = -100.00, Avg Reward (100) = 25870.45, Epsilon = 0.999, Avg Loss = 1050.4395, Max Q-Value = 18.10, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 14: Reward = 87688.15, Avg Reward (100) = 23872.73, Epsilon = 0.998, Avg Loss = 1253.8149, Max Q-Value = 25.41, Steps = 72, Reward Breakdown -> Delta_x Reward: 98181.86, Border Penalty: 5235.42, Obstacle Penalty: 3953.64
Episode 15: Reward = 186524.69, Avg Reward (100) = 28430.97, Epsilon = 0.998, Avg Loss = 1286.1979, Max Q-Value = 66.36, Steps = 134, Reward Breakdown -> Delta_x Reward: 209101.54, Border Penalty: 11619.88, Obstacle Penalty: 8986.55
Episode 16: Reward = -100.00, Avg Reward (100) = 38970.55, Epsilon = 0.998, Avg Loss = 1337.1869, Max Q-Value = 64.92, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 17: Reward = 640.00, Avg Reward (100) = 36528.64, Epsilon = 0.998, Avg Loss = 1174.8984, Max Q-Value = 65.58, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 18: Reward = 13846.99, Avg Reward (100) = 34417.55, Epsilon = 0.998, Avg Loss = 1242.7620, Max Q-Value = 70.62, Steps = 15, Reward Breakdown -> Delta_x Reward: 16486.99, Border Penalty: 1050.00, Obstacle Penalty: 750.00
Episode 19: Reward = 13021.62, Avg Reward (100) = 33274.74, Epsilon = 0.998, Avg Loss = 1269.0784, Max Q-Value = 78.25, Steps = 16, Reward Breakdown -> Delta_x Reward: 16321.62, Border Penalty: 1650.00, Obstacle Penalty: 800.00
Episode 20: Reward = 24722.80, Avg Reward (100) = 32208.78, Epsilon = 0.998, Avg Loss = 1172.6505, Max Q-Value = 94.36, Steps = 31, Reward Breakdown -> Delta_x Reward: 30122.80, Border Penalty: 2850.00, Obstacle Penalty: 1558.70
Episode 21: Reward = 640.00, Avg Reward (100) = 31834.48, Epsilon = 0.998, Avg Loss = 1284.4674, Max Q-Value = 95.04, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 22: Reward = -100.00, Avg Reward (100) = 30349.03, Epsilon = 0.998, Avg Loss = 1177.7336, Max Q-Value = 95.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 23: Reward = 1380.00, Avg Reward (100) = 28964.99, Epsilon = 0.997, Avg Loss = 1123.1038, Max Q-Value = 97.15, Steps = 3, Reward Breakdown -> Delta_x Reward: 2400.00, Border Penalty: 150.00, Obstacle Penalty: 150.00
Episode 24: Reward = 152118.30, Avg Reward (100) = 27765.64, Epsilon = 0.997, Avg Loss = 1334.7075, Max Q-Value = 100.43, Steps = 63, Reward Breakdown -> Delta_x Reward: 160722.64, Border Penalty: 2212.01, Obstacle Penalty: 4273.34
Episode 25: Reward = 95709.95, Avg Reward (100) = 32947.00, Epsilon = 0.997, Avg Loss = 1336.8755, Max Q-Value = 174.25, Steps = 72, Reward Breakdown -> Delta_x Reward: 106410.47, Border Penalty: 4697.27, Obstacle Penalty: 4093.10
Episode 26: Reward = 12626.61, Avg Reward (100) = 35457.52, Epsilon = 0.997, Avg Loss = 1229.5673, Max Q-Value = 217.55, Steps = 14, Reward Breakdown -> Delta_x Reward: 15056.61, Border Penalty: 900.00, Obstacle Penalty: 700.00
Episode 27: Reward = 640.00, Avg Reward (100) = 34579.41, Epsilon = 0.997, Avg Loss = 1169.3632, Max Q-Value = 220.59, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 28: Reward = 5116.41, Avg Reward (100) = 33322.39, Epsilon = 0.997, Avg Loss = 1273.9371, Max Q-Value = 229.59, Steps = 8, Reward Breakdown -> Delta_x Reward: 6886.41, Border Penalty: 600.00, Obstacle Penalty: 400.00
Episode 29: Reward = 32686.67, Avg Reward (100) = 32315.03, Epsilon = 0.997, Avg Loss = 1256.8612, Max Q-Value = 272.78, Steps = 33, Reward Breakdown -> Delta_x Reward: 38098.86, Border Penalty: 2597.97, Obstacle Penalty: 1904.49
Episode 30: Reward = -100.00, Avg Reward (100) = 32327.85, Epsilon = 0.997, Avg Loss = 987.2823, Max Q-Value = 277.09, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 31: Reward = 13686.38, Avg Reward (100) = 31246.92, Epsilon = 0.997, Avg Loss = 1222.6805, Max Q-Value = 306.50, Steps = 20, Reward Breakdown -> Delta_x Reward: 17376.38, Border Penalty: 1800.00, Obstacle Penalty: 1000.00
Episode 32: Reward = 236290.20, Avg Reward (100) = 30680.45, Epsilon = 0.996, Avg Loss = 1369.8756, Max Q-Value = 370.86, Steps = 100, Reward Breakdown -> Delta_x Reward: 250410.73, Border Penalty: 7073.50, Obstacle Penalty: 5457.50
Episode 33: Reward = 4076.41, Avg Reward (100) = 37105.76, Epsilon = 0.996, Avg Loss = 1378.8065, Max Q-Value = 505.86, Steps = 7, Reward Breakdown -> Delta_x Reward: 6086.41, Border Penalty: 900.00, Obstacle Penalty: 350.00
Episode 34: Reward = 32812.85, Avg Reward (100) = 36104.87, Epsilon = 0.996, Avg Loss = 1327.4719, Max Q-Value = 590.85, Steps = 38, Reward Breakdown -> Delta_x Reward: 38182.85, Border Penalty: 2400.00, Obstacle Penalty: 1900.00
Episode 35: Reward = -100.00, Avg Reward (100) = 36008.04, Epsilon = 0.996, Avg Loss = 1348.9517, Max Q-Value = 598.38, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 36: Reward = 7330.82, Avg Reward (100) = 34976.38, Epsilon = 0.996, Avg Loss = 1384.1613, Max Q-Value = 621.94, Steps = 10, Reward Breakdown -> Delta_x Reward: 9370.82, Border Penalty: 750.00, Obstacle Penalty: 500.00
Episode 37: Reward = -100.00, Avg Reward (100) = 34208.45, Epsilon = 0.996, Avg Loss = 1078.9954, Max Q-Value = 625.61, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 38: Reward = -100.00, Avg Reward (100) = 33281.20, Epsilon = 0.996, Avg Loss = 1231.2365, Max Q-Value = 628.11, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 39: Reward = 640.00, Avg Reward (100) = 32402.74, Epsilon = 0.996, Avg Loss = 1323.5046, Max Q-Value = 633.05, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 40: Reward = 2120.00, Avg Reward (100) = 31588.32, Epsilon = 0.996, Avg Loss = 1356.9855, Max Q-Value = 643.10, Steps = 4, Reward Breakdown -> Delta_x Reward: 3200.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 41: Reward = 1380.00, Avg Reward (100) = 30851.61, Epsilon = 0.995, Avg Loss = 1198.9555, Max Q-Value = 650.53, Steps = 3, Reward Breakdown -> Delta_x Reward: 2400.00, Border Penalty: 150.00, Obstacle Penalty: 150.00
Episode 42: Reward = 79790.98, Avg Reward (100) = 30132.79, Epsilon = 0.995, Avg Loss = 1513.7152, Max Q-Value = 792.97, Steps = 54, Reward Breakdown -> Delta_x Reward: 87720.03, Border Penalty: 3450.00, Obstacle Penalty: 3299.05
Episode 43: Reward = 2120.00, Avg Reward (100) = 31315.13, Epsilon = 0.995, Avg Loss = 1476.1944, Max Q-Value = 811.68, Steps = 4, Reward Breakdown -> Delta_x Reward: 3200.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 44: Reward = 640.00, Avg Reward (100) = 30636.17, Epsilon = 0.995, Avg Loss = 1249.9317, Max Q-Value = 817.46, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 45: Reward = 85862.00, Avg Reward (100) = 29954.44, Epsilon = 0.995, Avg Loss = 1381.1969, Max Q-Value = 1059.01, Steps = 77, Reward Breakdown -> Delta_x Reward: 98072.00, Border Penalty: 6900.00, Obstacle Penalty: 3850.00
Episode 46: Reward = -100.00, Avg Reward (100) = 31196.83, Epsilon = 0.995, Avg Loss = 1261.6370, Max Q-Value = 1070.18, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 47: Reward = 1380.00, Avg Reward (100) = 30516.46, Epsilon = 0.995, Avg Loss = 1293.8490, Max Q-Value = 1080.80, Steps = 3, Reward Breakdown -> Delta_x Reward: 2400.00, Border Penalty: 150.00, Obstacle Penalty: 150.00
Episode 48: Reward = 85514.30, Avg Reward (100) = 29896.54, Epsilon = 0.995, Avg Loss = 1234.7167, Max Q-Value = 1327.67, Steps = 70, Reward Breakdown -> Delta_x Reward: 95914.66, Border Penalty: 5400.00, Obstacle Penalty: 3610.34
Episode 49: Reward = 189864.02, Avg Reward (100) = 31055.24, Epsilon = 0.994, Avg Loss = 1155.4725, Max Q-Value = 1360.23, Steps = 47, Reward Breakdown -> Delta_x Reward: 192804.65, Border Penalty: 0.00, Obstacle Penalty: 2470.64
Episode 50: Reward = -100.00, Avg Reward (100) = 34296.24, Epsilon = 0.994, Avg Loss = 1289.5393, Max Q-Value = 1501.59, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 51: Reward = 12571.12, Avg Reward (100) = 33608.31, Epsilon = 0.994, Avg Loss = 1118.7437, Max Q-Value = 1551.14, Steps = 17, Reward Breakdown -> Delta_x Reward: 16081.12, Border Penalty: 1800.00, Obstacle Penalty: 850.00
Episode 52: Reward = 3600.00, Avg Reward (100) = 33195.82, Epsilon = 0.994, Avg Loss = 1828.5045, Max Q-Value = 1571.37, Steps = 6, Reward Breakdown -> Delta_x Reward: 4800.00, Border Penalty: 150.00, Obstacle Penalty: 300.00
Episode 53: Reward = 202527.19, Avg Reward (100) = 32626.67, Epsilon = 0.994, Avg Loss = 1601.5934, Max Q-Value = 2276.84, Steps = 123, Reward Breakdown -> Delta_x Reward: 220953.82, Border Penalty: 9662.74, Obstacle Penalty: 6854.67
Episode 54: Reward = 3936.41, Avg Reward (100) = 35832.34, Epsilon = 0.994, Avg Loss = 1332.0465, Max Q-Value = 2283.12, Steps = 6, Reward Breakdown -> Delta_x Reward: 5286.41, Border Penalty: 300.00, Obstacle Penalty: 300.00
Episode 55: Reward = -100.00, Avg Reward (100) = 35241.67, Epsilon = 0.994, Avg Loss = 1148.8611, Max Q-Value = 2296.56, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 56: Reward = 32945.62, Avg Reward (100) = 34599.10, Epsilon = 0.994, Avg Loss = 1298.5244, Max Q-Value = 2391.36, Steps = 27, Reward Breakdown -> Delta_x Reward: 37205.62, Border Penalty: 1950.00, Obstacle Penalty: 1350.00
Episode 57: Reward = 640.00, Avg Reward (100) = 34569.57, Epsilon = 0.994, Avg Loss = 1310.7275, Max Q-Value = 2433.22, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 58: Reward = -100.00, Avg Reward (100) = 33974.31, Epsilon = 0.993, Avg Loss = 1318.7651, Max Q-Value = 2438.18, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 59: Reward = 45791.02, Avg Reward (100) = 33386.83, Epsilon = 0.993, Avg Loss = 1219.9510, Max Q-Value = 2621.99, Steps = 46, Reward Breakdown -> Delta_x Reward: 52541.02, Border Penalty: 3300.00, Obstacle Penalty: 2300.00
Episode 60: Reward = -100.00, Avg Reward (100) = 33597.07, Epsilon = 0.993, Avg Loss = 1379.6626, Max Q-Value = 2644.37, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 61: Reward = 3936.41, Avg Reward (100) = 33035.45, Epsilon = 0.993, Avg Loss = 1076.6513, Max Q-Value = 2664.75, Steps = 6, Reward Breakdown -> Delta_x Reward: 5286.41, Border Penalty: 300.00, Obstacle Penalty: 300.00
Episode 62: Reward = 2896.41, Avg Reward (100) = 32558.42, Epsilon = 0.993, Avg Loss = 1876.7747, Max Q-Value = 2685.05, Steps = 5, Reward Breakdown -> Delta_x Reward: 4486.41, Border Penalty: 600.00, Obstacle Penalty: 250.00
Episode 63: Reward = 173923.29, Avg Reward (100) = 32080.00, Epsilon = 0.993, Avg Loss = 1791.7426, Max Q-Value = 2702.38, Steps = 75, Reward Breakdown -> Delta_x Reward: 179523.29, Border Penalty: 1050.00, Obstacle Penalty: 3800.00
Episode 64: Reward = -100.00, Avg Reward (100) = 34331.48, Epsilon = 0.993, Avg Loss = 1584.8806, Max Q-Value = 3306.05, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 65: Reward = 1380.00, Avg Reward (100) = 33793.49, Epsilon = 0.993, Avg Loss = 1639.8759, Max Q-Value = 3330.60, Steps = 3, Reward Breakdown -> Delta_x Reward: 2400.00, Border Penalty: 150.00, Obstacle Penalty: 150.00
Episode 66: Reward = 165230.64, Avg Reward (100) = 33294.82, Epsilon = 0.993, Avg Loss = 1487.0572, Max Q-Value = 3350.53, Steps = 62, Reward Breakdown -> Delta_x Reward: 169450.64, Border Penalty: 450.00, Obstacle Penalty: 3150.00
Episode 67: Reward = 15960.63, Avg Reward (100) = 35293.84, Epsilon = 0.992, Avg Loss = 1314.3515, Max Q-Value = 3848.96, Steps = 19, Reward Breakdown -> Delta_x Reward: 19290.63, Border Penalty: 1500.00, Obstacle Penalty: 950.00
Episode 68: Reward = 22543.84, Avg Reward (100) = 35005.29, Epsilon = 0.992, Avg Loss = 1258.7763, Max Q-Value = 3943.68, Steps = 27, Reward Breakdown -> Delta_x Reward: 27103.84, Border Penalty: 2250.00, Obstacle Penalty: 1350.00
Episode 69: Reward = 166133.20, Avg Reward (100) = 34822.03, Epsilon = 0.992, Avg Loss = 1157.1368, Max Q-Value = 3975.86, Steps = 48, Reward Breakdown -> Delta_x Reward: 169063.20, Border Penalty: 0.00, Obstacle Penalty: 2450.00
Episode 70: Reward = 157904.91, Avg Reward (100) = 36725.09, Epsilon = 0.992, Avg Loss = 1120.0333, Max Q-Value = 4162.92, Steps = 65, Reward Breakdown -> Delta_x Reward: 162154.91, Border Penalty: 300.00, Obstacle Penalty: 3300.00
Episode 71: Reward = 160006.36, Avg Reward (100) = 38456.23, Epsilon = 0.992, Avg Loss = 1004.1918, Max Q-Value = 4412.18, Steps = 165, Reward Breakdown -> Delta_x Reward: 183663.92, Border Penalty: 11400.00, Obstacle Penalty: 9967.54
Episode 72: Reward = 186849.59, Avg Reward (100) = 40168.21, Epsilon = 0.992, Avg Loss = 1687.1034, Max Q-Value = 5640.97, Steps = 136, Reward Breakdown -> Delta_x Reward: 208777.23, Border Penalty: 11100.00, Obstacle Penalty: 8777.67
Episode 73: Reward = 640.00, Avg Reward (100) = 42205.45, Epsilon = 0.992, Avg Loss = 1178.0045, Max Q-Value = 5742.21, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
Episode 74: Reward = 8961.52, Avg Reward (100) = 41636.06, Epsilon = 0.992, Avg Loss = 1146.6575, Max Q-Value = 5855.96, Steps = 13, Reward Breakdown -> Delta_x Reward: 11781.52, Border Penalty: 1350.00, Obstacle Penalty: 650.00
Episode 75: Reward = 196842.69, Avg Reward (100) = 41194.51, Epsilon = 0.992, Avg Loss = 1057.4757, Max Q-Value = 5895.18, Steps = 104, Reward Breakdown -> Delta_x Reward: 208899.66, Border Penalty: 3839.17, Obstacle Penalty: 6328.29
Episode 76: Reward = 3502.63, Avg Reward (100) = 43269.82, Epsilon = 0.991, Avg Loss = 978.9172, Max Q-Value = 6010.44, Steps = 5, Reward Breakdown -> Delta_x Reward: 4942.63, Border Penalty: 450.00, Obstacle Penalty: 250.00
Episode 77: Reward = 640.00, Avg Reward (100) = 42746.57, Epsilon = 0.991, Avg Loss = 886.1401, Max Q-Value = 6005.82, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
