Episode 1: Reward = 2306.41, Avg Reward (100) = 0.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 1.42, Steps = 4, Reward Breakdown -> Delta_x Reward: 3686.41, Border Penalty: 450.00, Obstacle Penalty: 200.00
Episode 2: Reward = 168679.03, Avg Reward (100) = 2306.41, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 3.08, Steps = 51, Reward Breakdown -> Delta_x Reward: 178006.73, Border Penalty: 1166.96, Obstacle Penalty: 3056.03
Episode 3: Reward = 15854.18, Avg Reward (100) = 85492.72, Epsilon = 1.000, Avg Loss = 1594.3440, Max Q-Value = 1.42, Steps = 20, Reward Breakdown -> Delta_x Reward: 19544.18, Border Penalty: 1800.00, Obstacle Penalty: 1000.00
Episode 4: Reward = 8601.52, Avg Reward (100) = 62279.87, Epsilon = 1.000, Avg Loss = 2377.2172, Max Q-Value = 1.44, Steps = 10, Reward Breakdown -> Delta_x Reward: 10491.52, Border Penalty: 600.00, Obstacle Penalty: 500.00
Episode 5: Reward = 50784.09, Avg Reward (100) = 48860.28, Epsilon = 1.000, Avg Loss = 2075.8604, Max Q-Value = 1.90, Steps = 39, Reward Breakdown -> Delta_x Reward: 57735.49, Border Penalty: 2109.70, Obstacle Penalty: 2327.19
Episode 6: Reward = -100.00, Avg Reward (100) = 49245.05, Epsilon = 0.999, Avg Loss = 2506.7927, Max Q-Value = 1.44, Steps = 1, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 150.00, Obstacle Penalty: 50.00
Episode 7: Reward = 62758.12, Avg Reward (100) = 41020.87, Epsilon = 0.999, Avg Loss = 1844.5804, Max Q-Value = 1.48, Steps = 63, Reward Breakdown -> Delta_x Reward: 72492.29, Border Penalty: 5030.75, Obstacle Penalty: 3452.15
Episode 8: Reward = 189267.77, Avg Reward (100) = 44126.19, Epsilon = 0.999, Avg Loss = 1764.7539, Max Q-Value = 2.53, Steps = 45, Reward Breakdown -> Delta_x Reward: 192167.77, Border Penalty: 150.00, Obstacle Penalty: 2300.00
Episode 9: Reward = 11474.16, Avg Reward (100) = 62268.89, Epsilon = 0.999, Avg Loss = 2075.6483, Max Q-Value = 1.57, Steps = 14, Reward Breakdown -> Delta_x Reward: 14054.16, Border Penalty: 1050.00, Obstacle Penalty: 700.00
Episode 10: Reward = 15326.94, Avg Reward (100) = 56625.03, Epsilon = 0.999, Avg Loss = 2035.0772, Max Q-Value = 1.57, Steps = 23, Reward Breakdown -> Delta_x Reward: 20246.94, Border Penalty: 2850.00, Obstacle Penalty: 1150.00
Episode 11: Reward = 640.00, Avg Reward (100) = 52495.22, Epsilon = 0.999, Avg Loss = 1845.9496, Max Q-Value = 1.47, Steps = 2, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 150.00, Obstacle Penalty: 100.00
