Training Log
20241118_224415
-----------
Configuration: c:\Users\rasmu\OneDrive\Skrivebord\Dev\NN cartrack\config.py

Training Metrics
---------------
Configuration Items
--------------------
torch: <module 'torch' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\torch\\__init__.py'>
np: <module 'numpy' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\numpy\\__init__.py'>
DEVICE: cuda
TRACK_LENGTH: 300
TRACK_WIDTH: 50
MAX_TIMESTEPS: 1100
BORDER_THRESHOLD: 10.0
OBSTACLE_THRESHOLD: 1.0
OBSTACLES: [{'center': array([150.,  25.], dtype=float32), 'size': array([50., 30.], dtype=float32)}, {'center': array([225.,  45.], dtype=float32), 'size': array([30., 20.], dtype=float32)}, {'center': array([225.,   5.], dtype=float32), 'size': array([30., 20.], dtype=float32)}]
LEARNING_RATE: 0.0005
BATCH_SIZE: 64
GAMMA: 0.98
EPS_START: 1.0
EPS_END: 0.1
EPS_DECAY: 1500
TARGET_UPDATE: 5
MEMORY_CAPACITY: 30000
NUM_EPISODES: 15000
MAX_SPEED: 4.0
ACCELERATION: 0.9
STEERING: 0.8
HIDDEN_LAYERS: {256, 128}
REWARD_GOAL: 200000
PENALTY_OFF_TRACK: -1000
PENALTY_OBSTACLE: -90
PENALTY_BORDER: -300
PENALTY_BACKWARDS: -100
PENALTY_TIME_LIMIT: -25
FORWARD_REWARD_MULTIPLIER: 6000
DELTA_X_REWARD_FACTOR: 250
TIME_PENALTY: -1
STATE_SIZE: 12
ACTION_SIZE: 4
PROCENTAGE_TO_DRAW: 0.9
DRAW_BEST_TRAJECTORIES: 13501

Training Progress
-----------------
Episode 1: Reward = -65.91, Avg Reward (100) = 0.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 18, Reward Breakdown -> Delta_x Reward: -65.91, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 2: Reward = -1049.00, Avg Reward (100) = -65.91, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 2, Reward Breakdown -> Delta_x Reward: -1049.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 3: Reward = -1000.00, Avg Reward (100) = -557.46, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 1, Reward Breakdown -> Delta_x Reward: -1000.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 4: Reward = 779.73, Avg Reward (100) = -704.97, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 17, Reward Breakdown -> Delta_x Reward: 779.73, Border Penalty: 443.76, Obstacle Penalty: -50.00
Episode 5: Reward = -1049.00, Avg Reward (100) = -333.80, Epsilon = 0.997, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 2, Reward Breakdown -> Delta_x Reward: -1049.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 6: Reward = -433.28, Avg Reward (100) = -476.84, Epsilon = 0.996, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 8, Reward Breakdown -> Delta_x Reward: -433.28, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 7: Reward = -1098.00, Avg Reward (100) = -469.58, Epsilon = 0.996, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 3, Reward Breakdown -> Delta_x Reward: -1098.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 8: Reward = -1028.25, Avg Reward (100) = -559.35, Epsilon = 0.995, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 9, Reward Breakdown -> Delta_x Reward: -1028.25, Border Penalty: 0.00, Obstacle Penalty: -100.00
Episode 9: Reward = -1098.00, Avg Reward (100) = -617.96, Epsilon = 0.995, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 3, Reward Breakdown -> Delta_x Reward: -1098.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 10: Reward = -1000.00, Avg Reward (100) = -671.30, Epsilon = 0.994, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 1, Reward Breakdown -> Delta_x Reward: -1000.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 11: Reward = 5033.95, Avg Reward (100) = -704.17, Epsilon = 0.993, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 30, Reward Breakdown -> Delta_x Reward: 5033.95, Border Penalty: 3165.71, Obstacle Penalty: -50.00
Episode 12: Reward = -1049.00, Avg Reward (100) = -182.52, Epsilon = 0.993, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 2, Reward Breakdown -> Delta_x Reward: -1049.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 13: Reward = -1000.00, Avg Reward (100) = -254.73, Epsilon = 0.992, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 1, Reward Breakdown -> Delta_x Reward: -1000.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 14: Reward = -1049.00, Avg Reward (100) = -312.06, Epsilon = 0.992, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 2, Reward Breakdown -> Delta_x Reward: -1049.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 15: Reward = -1000.00, Avg Reward (100) = -364.70, Epsilon = 0.991, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 1, Reward Breakdown -> Delta_x Reward: -1000.00, Border Penalty: 0.00, Obstacle Penalty: -50.00
Episode 16: Reward = 66531.59, Avg Reward (100) = -407.05, Epsilon = 0.990, Avg Loss = 0.0000, Max Q-Value = 10.67, Steps = 90, Reward Breakdown -> Delta_x Reward: 66531.59, Border Penalty: 3677.41, Obstacle Penalty: -50.00
