Episode 1: Reward = -171541.67, Avg Reward (100) = 0.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.68, Steps = 10, Reward Breakdown -> Delta_x Reward: 12216.21, Border Penalty: 190961.62, Obstacle Penalty: 2571.37
Episode 2: Reward = -74501.92, Avg Reward (100) = -171541.67, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.69, Steps = 8, Reward Breakdown -> Delta_x Reward: 8000.00, Border Penalty: 100.00, Obstacle Penalty: 1901.92
Episode 3: Reward = -19200.00, Avg Reward (100) = -123021.80, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.68, Steps = 2, Reward Breakdown -> Delta_x Reward: 2000.00, Border Penalty: 100.00, Obstacle Penalty: 400.00
Episode 4: Reward = -312730.62, Avg Reward (100) = -88414.53, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.68, Steps = 12, Reward Breakdown -> Delta_x Reward: 14688.61, Border Penalty: 307132.38, Obstacle Penalty: 3034.23
Episode 5: Reward = -155457.22, Avg Reward (100) = -144493.55, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.68, Steps = 8, Reward Breakdown -> Delta_x Reward: 8000.00, Border Penalty: 195940.70, Obstacle Penalty: 2030.09
Episode 6: Reward = -46906.66, Avg Reward (100) = -146686.29, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.68, Steps = 5, Reward Breakdown -> Delta_x Reward: 5000.00, Border Penalty: 100.00, Obstacle Penalty: 1306.65
Episode 7: Reward = -10000.00, Avg Reward (100) = -130056.35, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.68, Steps = 1, Reward Breakdown -> Delta_x Reward: 1000.00, Border Penalty: 100.00, Obstacle Penalty: 200.00
Episode 8: Reward = -247181.09, Avg Reward (100) = -112905.44, Epsilon = 0.499, Avg Loss = 1691.0551, Max Q-Value = 2.73, Steps = 19, Reward Breakdown -> Delta_x Reward: 24302.63, Border Penalty: 181203.94, Obstacle Penalty: 4888.10
Episode 9: Reward = -190569.02, Avg Reward (100) = -129689.90, Epsilon = 0.499, Avg Loss = 16011.1146, Max Q-Value = 2.67, Steps = 10, Reward Breakdown -> Delta_x Reward: 10000.00, Border Penalty: 193081.66, Obstacle Penalty: 2587.27
Episode 10: Reward = -80943.66, Avg Reward (100) = -136454.24, Epsilon = 0.499, Avg Loss = 15931.3571, Max Q-Value = 2.63, Steps = 7, Reward Breakdown -> Delta_x Reward: 7000.00, Border Penalty: 73761.46, Obstacle Penalty: 1830.09
Episode 11: Reward = -10000.00, Avg Reward (100) = -130903.19, Epsilon = 0.499, Avg Loss = 15490.7285, Max Q-Value = 2.59, Steps = 1, Reward Breakdown -> Delta_x Reward: 1000.00, Border Penalty: 100.00, Obstacle Penalty: 200.00
Episode 12: Reward = -19200.00, Avg Reward (100) = -119911.99, Epsilon = 0.499, Avg Loss = 16618.9258, Max Q-Value = 2.59, Steps = 2, Reward Breakdown -> Delta_x Reward: 2000.00, Border Penalty: 100.00, Obstacle Penalty: 400.00
Episode 13: Reward = -28400.00, Avg Reward (100) = -111519.32, Epsilon = 0.499, Avg Loss = 14784.6634, Max Q-Value = 2.58, Steps = 3, Reward Breakdown -> Delta_x Reward: 3000.00, Border Penalty: 100.00, Obstacle Penalty: 600.00
Episode 14: Reward = -56306.66, Avg Reward (100) = -105125.53, Epsilon = 0.499, Avg Loss = 14447.4123, Max Q-Value = 2.56, Steps = 6, Reward Breakdown -> Delta_x Reward: 6000.00, Border Penalty: 6863.53, Obstacle Penalty: 1672.84
Episode 15: Reward = -262618.12, Avg Reward (100) = -101638.47, Epsilon = 0.499, Avg Loss = 14875.9408, Max Q-Value = 2.53, Steps = 12, Reward Breakdown -> Delta_x Reward: 16663.47, Border Penalty: 265720.25, Obstacle Penalty: 2833.15
Episode 16: Reward = -46800.00, Avg Reward (100) = -112370.44, Epsilon = 0.499, Avg Loss = 15523.3072, Max Q-Value = 2.48, Steps = 5, Reward Breakdown -> Delta_x Reward: 5000.00, Border Penalty: 100.00, Obstacle Penalty: 1000.00
